complaint_id,bike_brand,bike_model,problem_category,problem_description,mileage_km,manufacturing_year,severity
377,Honda,Classic 350,Transmission,Brake pads wearing out too fast,13569,2019,Medium
378,Suzuki,Access 125,Engine,Brake pads wearing out too fast,43422,2024,High
379,Bajaj,Splendor,Fuel System,Poor mileage compared to normal,8218,2016,Low
380,KTM,Duke 200,Electrical,Brake pads wearing out too fast,57674,2015,Low
381,TVS,Classic 350,Brakes,Gear shifting feels hard,29662,2022,Medium
382,Hero,R15,Suspension,Bike not starting consistently,12440,2017,Low
383,Honda,R15,Suspension,Poor mileage compared to normal,38060,2018,High
384,TVS,Pulsar,Transmission,Excessive vibration at high speed,19719,2023,High
385,KTM,Duke 200,Brakes,Overheating during long rides,15161,2015,Low
386,Bajaj,Access 125,Transmission,Overheating during long rides,55636,2019,Medium
387,Honda,FZ,Engine,Overheating during long rides,14541,2022,Low
388,Bajaj,Apache,Overheating,Excessive vibration at high speed,21547,2022,High
389,Suzuki,FZ,Suspension,Poor mileage compared to normal,34991,2019,Medium
390,Honda,Access 125,Engine,Battery drains quickly,8018,2024,High
391,Suzuki,Access 125,Engine,Gear shifting feels hard,20951,2021,Low
392,TVS,Classic 350,Engine,Bike not starting consistently,15010,2016,High
393,Suzuki,Splendor,Suspension,Brake pads wearing out too fast,40806,2017,High
394,Royal Enfield,Splendor,Brakes,Bike not starting consistently,26715,2023,Medium
395,KTM,Classic 350,Overheating,Gear shifting feels hard,22923,2019,High
396,KTM,Classic 350,Overheating,Overheating during long rides,44789,2015,Medium
397,KTM,FZ,Suspension,Bike not starting consistently,4984,2022,Medium
398,Bajaj,Classic 350,Transmission,Brake pads wearing out too fast,7678,2016,Low
399,KTM,Splendor,Brakes,Gear shifting feels hard,47785,2015,Medium
400,Royal Enfield,Duke 200,Transmission,Engine making unusual noise,21108,2016,Medium
401,KTM,FZ,Fuel System,Overheating during long rides,19886,2024,Medium
402,Honda,Duke 200,Electrical,Bike not starting consistently,27282,2022,Medium
403,Honda,R15,Brakes,Engine making unusual noise,1546,2018,Medium
404,KTM,Duke 200,Engine,Engine making unusual noise,32281,2020,High
405,TVS,R15,Overheating,Bike not starting consistently,42115,2021,High
406,Yamaha,Duke 200,Engine,Excessive vibration at high speed,17772,2023,Medium
407,Honda,Splendor,Suspension,Bike not starting consistently,27838,2015,Medium
408,KTM,Duke 200,Transmission,Bike not starting consistently,24203,2024,Medium
409,Yamaha,Pulsar,Overheating,Engine making unusual noise,41840,2018,Medium
410,Hero,Classic 350,Overheating,Battery drains quickly,5246,2022,Low
411,Suzuki,R15,Engine,Engine making unusual noise,24719,2023,High
412,Yamaha,FZ,Electrical,Excessive vibration at high speed,33221,2024,Medium
413,KTM,Classic 350,Transmission,Excessive vibration at high speed,13219,2023,High
414,Royal Enfield,R15,Suspension,Bike not starting consistently,21500,2021,Medium
415,Royal Enfield,Access 125,Engine,Bike not starting consistently,30058,2024,Medium
416,Bajaj,Access 125,Suspension,Bike not starting consistently,25906,2024,High
417,Royal Enfield,Splendor,Transmission,Excessive vibration at high speed,18183,2017,High
418,Royal Enfield,Apache,Overheating,Brake pads wearing out too fast,27413,2017,Low
419,Yamaha,Pulsar,Overheating,Bike not starting consistently,18905,2016,High
420,Hero,Classic 350,Electrical,Brake pads wearing out too fast,33404,2022,High
421,Royal Enfield,Access 125,Electrical,Engine making unusual noise,33486,2021,Low
422,KTM,Access 125,Fuel System,Excessive vibration at high speed,42457,2021,Medium
423,Bajaj,Duke 200,Transmission,Bike not starting consistently,5153,2020,Low
424,Suzuki,R15,Fuel System,Overheating during long rides,28934,2016,Low
425,Honda,Apache,Suspension,Poor mileage compared to normal,37476,2018,Low
426,Bajaj,FZ,Fuel System,Gear shifting feels hard,37574,2023,High
427,Hero,FZ,Brakes,Gear shifting feels hard,54422,2017,Medium
428,Honda,Splendor,Overheating,Brake pads wearing out too fast,4504,2020,Medium
429,Suzuki,Access 125,Fuel System,Brake pads wearing out too fast,31111,2020,Low
430,Royal Enfield,Splendor,Overheating,Brake pads wearing out too fast,18169,2023,Low
431,Yamaha,Duke 200,Suspension,Bike not starting consistently,36044,2020,Medium
432,Honda,Splendor,Transmission,Gear shifting feels hard,47216,2016,Low
433,Yamaha,FZ,Transmission,Bike not starting consistently,42336,2022,Medium
434,Honda,Duke 200,Suspension,Bike not starting consistently,40537,2015,High
435,Hero,Splendor,Brakes,Excessive vibration at high speed,4681,2019,Medium
436,Yamaha,Access 125,Brakes,Bike not starting consistently,37825,2023,High
437,Hero,Splendor,Fuel System,Brake pads wearing out too fast,24453,2015,High
438,Bajaj,Classic 350,Electrical,Gear shifting feels hard,9899,2022,High
439,Hero,Apache,Engine,Engine making unusual noise,38803,2015,Medium
440,Yamaha,Duke 200,Electrical,Gear shifting feels hard,47931,2018,High
441,Hero,Splendor,Fuel System,Battery drains quickly,52518,2016,Medium
442,Honda,Splendor,Electrical,Engine making unusual noise,42990,2020,Low
443,Bajaj,Classic 350,Electrical,Overheating during long rides,26881,2018,Low
444,Hero,R15,Transmission,Battery drains quickly,18586,2017,High
445,Honda,Classic 350,Fuel System,Overheating during long rides,35099,2019,Medium
446,Yamaha,Apache,Transmission,Bike not starting consistently,6831,2018,Medium
447,Bajaj,Splendor,Fuel System,Poor mileage compared to normal,50316,2019,Medium
448,Bajaj,Apache,Fuel System,Engine making unusual noise,30302,2024,High
449,Royal Enfield,Duke 200,Electrical,Engine making unusual noise,44569,2019,High
450,Yamaha,Splendor,Suspension,Excessive vibration at high speed,55410,2019,Medium
451,KTM,Apache,Overheating,Poor mileage compared to normal,36047,2024,Medium
452,Suzuki,R15,Brakes,Poor mileage compared to normal,21505,2017,Medium
453,Honda,R15,Fuel System,Gear shifting feels hard,30428,2021,Low
454,Bajaj,Classic 350,Fuel System,Battery drains quickly,41707,2018,Low
455,Bajaj,FZ,Fuel System,Gear shifting feels hard,45766,2024,Medium
456,Yamaha,Access 125,Overheating,Bike not starting consistently,40232,2023,Medium
457,KTM,R15,Transmission,Battery drains quickly,43382,2022,High
458,TVS,Access 125,Fuel System,Excessive vibration at high speed,27055,2016,Medium
459,Bajaj,FZ,Electrical,Brake pads wearing out too fast,14947,2015,High
460,Suzuki,Apache,Transmission,Bike not starting consistently,15451,2021,High
461,Royal Enfield,R15,Fuel System,Overheating during long rides,43267,2022,High
462,Yamaha,Splendor,Electrical,Engine making unusual noise,33414,2017,Low
463,Hero,Apache,Engine,Poor mileage compared to normal,38895,2017,Low
464,KTM,Access 125,Fuel System,Excessive vibration at high speed,35282,2024,High
465,Suzuki,Splendor,Transmission,Excessive vibration at high speed,52765,2020,High
466,Honda,Pulsar,Engine,Engine making unusual noise,35111,2017,Medium
467,Suzuki,Apache,Suspension,Battery drains quickly,40128,2017,Low
468,Bajaj,Access 125,Transmission,Battery drains quickly,21274,2018,Low
469,Yamaha,Apache,Transmission,Brake pads wearing out too fast,19279,2015,Medium
470,Honda,R15,Fuel System,Poor mileage compared to normal,5453,2021,Low
471,Yamaha,Pulsar,Fuel System,Gear shifting feels hard,3231,2023,High
472,Hero,Access 125,Suspension,Excessive vibration at high speed,11519,2023,High
473,Royal Enfield,R15,Overheating,Overheating during long rides,27263,2017,Low
474,Honda,Apache,Electrical,Bike not starting consistently,44207,2018,Low
475,KTM,FZ,Overheating,Excessive vibration at high speed,24688,2023,High
476,Bajaj,Duke 200,Fuel System,Gear shifting feels hard,52464,2017,Low
477,Honda,Apache,Brakes,Bike not starting consistently,22077,2021,Medium
478,TVS,Splendor,Engine,Excessive vibration at high speed,36508,2021,High
479,Yamaha,Pulsar,Engine,Engine making unusual noise,5786,2015,Medium
480,Bajaj,Access 125,Electrical,Engine making unusual noise,8400,2023,Medium
481,Hero,Apache,Electrical,Overheating during long rides,53120,2018,Medium
482,KTM,Classic 350,Brakes,Brake pads wearing out too fast,54929,2016,Low
483,Bajaj,R15,Electrical,Engine making unusual noise,2826,2015,Medium
484,TVS,Classic 350,Electrical,Bike not starting consistently,18868,2017,Medium
485,Royal Enfield,Pulsar,Fuel System,Battery drains quickly,13992,2020,Low
486,TVS,Splendor,Overheating,Bike not starting consistently,23506,2018,Medium
487,Suzuki,FZ,Transmission,Overheating during long rides,3178,2019,Low
488,Yamaha,Access 125,Brakes,Overheating during long rides,55582,2022,High
489,Yamaha,Access 125,Suspension,Gear shifting feels hard,14546,2015,Low
490,Suzuki,Apache,Electrical,Battery drains quickly,34679,2018,High
491,TVS,FZ,Fuel System,Poor mileage compared to normal,14663,2024,High
492,Hero,Splendor,Fuel System,Excessive vibration at high speed,31006,2021,Low
493,Suzuki,R15,Overheating,Poor mileage compared to normal,43953,2024,High
494,Royal Enfield,Classic 350,Overheating,Bike not starting consistently,33019,2021,High
495,Royal Enfield,Splendor,Engine,Poor mileage compared to normal,54919,2018,Medium
496,TVS,Duke 200,Fuel System,Gear shifting feels hard,35463,2020,High
497,Yamaha,Pulsar,Fuel System,Battery drains quickly,57088,2024,Low
498,Royal Enfield,Apache,Fuel System,Engine making unusual noise,20857,2019,Low
499,Suzuki,Splendor,Suspension,Overheating during long rides,52143,2020,Medium
500,Honda,Access 125,Engine,Engine making unusual noise,15503,2017,Medium
501,KTM,FZ,Transmission,Excessive vibration at high speed,12954,2022,High
502,Royal Enfield,Apache,Transmission,Battery drains quickly,3939,2023,Low
503,Royal Enfield,Apache,Fuel System,Overheating during long rides,37577,2021,High
504,Yamaha,Duke 200,Electrical,Battery drains quickly,36676,2015,High
505,Yamaha,R15,Electrical,Battery drains quickly,37372,2018,Low
506,TVS,Pulsar,Engine,Overheating during long rides,24417,2017,Low
507,KTM,Apache,Suspension,Brake pads wearing out too fast,58747,2021,High
508,Yamaha,Access 125,Engine,Excessive vibration at high speed,46033,2015,Low
509,Yamaha,R15,Brakes,Overheating during long rides,8764,2016,Low
510,Honda,R15,Fuel System,Engine making unusual noise,7589,2020,High
511,KTM,Pulsar,Transmission,Engine making unusual noise,11707,2016,High
512,Yamaha,Access 125,Electrical,Bike not starting consistently,13500,2016,Low
513,Bajaj,Splendor,Engine,Bike not starting consistently,14108,2017,High
514,Hero,FZ,Brakes,Bike not starting consistently,24966,2015,Low
515,Honda,Classic 350,Overheating,Bike not starting consistently,8147,2016,Low
516,Suzuki,Pulsar,Overheating,Battery drains quickly,22075,2023,Medium
517,Yamaha,FZ,Overheating,Engine making unusual noise,29277,2021,Low
518,KTM,Apache,Suspension,Brake pads wearing out too fast,58256,2022,Low
519,TVS,Pulsar,Electrical,Excessive vibration at high speed,41409,2016,High
520,KTM,Splendor,Brakes,Battery drains quickly,50107,2018,High
521,Hero,Pulsar,Brakes,Brake pads wearing out too fast,20517,2019,Medium
522,Yamaha,R15,Overheating,Battery drains quickly,58113,2020,Medium
523,Suzuki,Access 125,Engine,Bike not starting consistently,20291,2018,High
524,Bajaj,Pulsar,Transmission,Bike not starting consistently,40843,2016,Low
525,Suzuki,Duke 200,Overheating,Brake pads wearing out too fast,38211,2022,High
526,Royal Enfield,Duke 200,Overheating,Poor mileage compared to normal,56756,2022,High
527,TVS,Splendor,Engine,Gear shifting feels hard,51548,2020,Low
528,Hero,Splendor,Fuel System,Battery drains quickly,26159,2018,Low
529,Yamaha,Splendor,Brakes,Battery drains quickly,54759,2017,Medium
530,Suzuki,R15,Overheating,Gear shifting feels hard,43336,2019,High
531,Hero,R15,Electrical,Engine making unusual noise,25319,2021,Medium
532,Honda,Access 125,Suspension,Engine making unusual noise,25615,2020,Low
533,Royal Enfield,Duke 200,Suspension,Brake pads wearing out too fast,25452,2022,Medium
534,Bajaj,Apache,Suspension,Poor mileage compared to normal,14908,2021,Medium
535,Honda,Splendor,Engine,Excessive vibration at high speed,20578,2022,Medium
536,TVS,Splendor,Fuel System,Overheating during long rides,28949,2021,Medium
537,Royal Enfield,Apache,Overheating,Battery drains quickly,55786,2017,Low
538,Hero,R15,Engine,Gear shifting feels hard,17461,2020,Low
539,Suzuki,R15,Fuel System,Brake pads wearing out too fast,46193,2021,Low
540,KTM,Access 125,Overheating,Bike not starting consistently,30680,2020,High
541,TVS,R15,Overheating,Gear shifting feels hard,28086,2022,Medium
542,Hero,FZ,Suspension,Gear shifting feels hard,22259,2024,High
543,TVS,Apache,Fuel System,Battery drains quickly,22166,2021,Low
544,Royal Enfield,R15,Fuel System,Excessive vibration at high speed,53147,2018,Low
545,TVS,FZ,Electrical,Excessive vibration at high speed,9962,2019,Medium
546,Hero,R15,Overheating,Battery drains quickly,59809,2018,Low
547,Hero,Access 125,Overheating,Gear shifting feels hard,57774,2015,Medium
548,KTM,Access 125,Overheating,Brake pads wearing out too fast,39666,2023,Low
549,KTM,FZ,Fuel System,Bike not starting consistently,15079,2016,High
550,Royal Enfield,Apache,Transmission,Gear shifting feels hard,32309,2022,Low
551,Bajaj,Splendor,Brakes,Brake pads wearing out too fast,29878,2020,High
552,Honda,Pulsar,Suspension,Gear shifting feels hard,44141,2022,High
553,Bajaj,Classic 350,Engine,Engine making unusual noise,41505,2015,High
554,Yamaha,Pulsar,Suspension,Brake pads wearing out too fast,32634,2020,Medium
555,Yamaha,Duke 200,Electrical,Brake pads wearing out too fast,15707,2021,Low
556,Royal Enfield,R15,Transmission,Poor mileage compared to normal,55567,2021,Low
557,Hero,Access 125,Transmission,Engine making unusual noise,26176,2024,High
558,TVS,Pulsar,Fuel System,Overheating during long rides,31056,2024,High
559,TVS,Apache,Electrical,Poor mileage compared to normal,47741,2015,High
560,KTM,Splendor,Engine,Bike not starting consistently,53058,2023,Low
561,Suzuki,R15,Electrical,Excessive vibration at high speed,11274,2021,Medium
562,Bajaj,Pulsar,Overheating,Battery drains quickly,56266,2023,Low
563,Honda,Duke 200,Fuel System,Excessive vibration at high speed,651,2022,High
564,Honda,Duke 200,Transmission,Brake pads wearing out too fast,50034,2024,Low
565,KTM,Classic 350,Engine,Brake pads wearing out too fast,46668,2015,Low
566,TVS,FZ,Electrical,Engine making unusual noise,51473,2016,Medium
567,Royal Enfield,Access 125,Fuel System,Engine making unusual noise,58878,2024,High
568,Yamaha,R15,Overheating,Gear shifting feels hard,22036,2015,Medium
569,Royal Enfield,Apache,Electrical,Overheating during long rides,44851,2018,Medium
570,Suzuki,Classic 350,Suspension,Excessive vibration at high speed,44077,2022,High
571,Suzuki,R15,Fuel System,Excessive vibration at high speed,21111,2016,Low
572,Suzuki,R15,Suspension,Excessive vibration at high speed,2889,2020,High
573,Yamaha,Pulsar,Overheating,Battery drains quickly,20255,2020,Low
574,Honda,FZ,Transmission,Engine making unusual noise,54314,2017,Medium
575,TVS,Apache,Overheating,Overheating during long rides,32800,2019,High
576,Royal Enfield,R15,Fuel System,Brake pads wearing out too fast,27031,2016,Low
577,TVS,Duke 200,Suspension,Excessive vibration at high speed,1814,2023,Low
578,KTM,Duke 200,Electrical,Bike not starting consistently,58782,2022,High
579,Royal Enfield,Duke 200,Electrical,Bike not starting consistently,14735,2021,High
580,Suzuki,FZ,Electrical,Poor mileage compared to normal,10687,2024,Low
581,Yamaha,Duke 200,Overheating,Brake pads wearing out too fast,30287,2016,Medium
582,Bajaj,Apache,Suspension,Poor mileage compared to normal,23090,2015,Low
583,Bajaj,R15,Electrical,Engine making unusual noise,6734,2019,Medium
584,KTM,Splendor,Engine,Bike not starting consistently,54888,2016,Low
585,Royal Enfield,Pulsar,Suspension,Engine making unusual noise,55479,2016,Medium
586,KTM,R15,Electrical,Engine making unusual noise,16715,2017,Medium
587,Yamaha,Access 125,Electrical,Brake pads wearing out too fast,12944,2016,Medium
588,Royal Enfield,Splendor,Suspension,Gear shifting feels hard,13493,2020,Medium
589,Bajaj,Classic 350,Electrical,Engine making unusual noise,1335,2021,Medium
590,Honda,FZ,Brakes,Overheating during long rides,59843,2022,Medium
591,Royal Enfield,R15,Electrical,Bike not starting consistently,35449,2022,Medium
592,KTM,R15,Overheating,Poor mileage compared to normal,53683,2018,Medium
593,KTM,Splendor,Fuel System,Battery drains quickly,3872,2018,High
594,Suzuki,Access 125,Transmission,Excessive vibration at high speed,16479,2015,Medium
595,Yamaha,Apache,Fuel System,Excessive vibration at high speed,15172,2022,Medium
596,Bajaj,Apache,Transmission,Excessive vibration at high speed,8194,2016,Medium
597,Suzuki,Duke 200,Transmission,Overheating during long rides,48072,2022,High
598,KTM,Pulsar,Engine,Battery drains quickly,42231,2020,Medium
599,Bajaj,FZ,Transmission,Poor mileage compared to normal,50236,2024,Low
600,TVS,Splendor,Transmission,Bike not starting consistently,22711,2017,High
601,Royal Enfield,Pulsar,Overheating,Bike not starting consistently,14555,2024,Low
602,Yamaha,Splendor,Transmission,Brake pads wearing out too fast,17085,2019,High
603,Yamaha,Apache,Suspension,Engine making unusual noise,21499,2020,Medium
604,Bajaj,Duke 200,Brakes,Excessive vibration at high speed,16134,2019,High
605,Yamaha,Apache,Overheating,Poor mileage compared to normal,3209,2020,Low
606,Honda,Duke 200,Engine,Excessive vibration at high speed,18200,2019,Medium
607,Royal Enfield,FZ,Fuel System,Bike not starting consistently,35195,2018,Low
608,Yamaha,Access 125,Suspension,Excessive vibration at high speed,25981,2018,Medium
609,Suzuki,Classic 350,Suspension,Gear shifting feels hard,37468,2016,High
610,Bajaj,Access 125,Electrical,Bike not starting consistently,54109,2018,Medium
611,KTM,Apache,Transmission,Poor mileage compared to normal,32822,2017,Medium
612,Bajaj,R15,Transmission,Engine making unusual noise,3886,2015,Medium
613,TVS,Duke 200,Suspension,Bike not starting consistently,13414,2022,Low
614,Honda,Duke 200,Electrical,Engine making unusual noise,41086,2020,Low
615,Honda,R15,Electrical,Bike not starting consistently,7141,2020,Medium
616,Yamaha,Classic 350,Overheating,Battery drains quickly,31675,2019,Medium
617,Suzuki,Pulsar,Suspension,Overheating during long rides,26953,2022,High
618,Honda,Pulsar,Transmission,Gear shifting feels hard,36090,2020,High
619,KTM,Splendor,Electrical,Poor mileage compared to normal,17555,2017,Medium
620,Yamaha,Duke 200,Fuel System,Battery drains quickly,32680,2017,High
621,KTM,FZ,Transmission,Engine making unusual noise,3872,2022,Medium
622,Bajaj,Pulsar,Transmission,Gear shifting feels hard,45610,2018,High
623,KTM,Access 125,Brakes,Poor mileage compared to normal,52364,2019,Low
624,Suzuki,Splendor,Fuel System,Engine making unusual noise,39390,2016,Low
625,Hero,Access 125,Transmission,Overheating during long rides,5952,2016,High
626,Royal Enfield,Classic 350,Fuel System,Brake pads wearing out too fast,18214,2015,Medium
627,Yamaha,FZ,Brakes,Battery drains quickly,10071,2016,Medium
628,TVS,Pulsar,Brakes,Battery drains quickly,44727,2016,High
629,Honda,Access 125,Transmission,Brake pads wearing out too fast,18257,2015,High
630,Honda,Apache,Overheating,Bike not starting consistently,40111,2023,High
631,KTM,R15,Electrical,Bike not starting consistently,28360,2018,Low
632,Yamaha,Pulsar,Engine,Overheating during long rides,35500,2015,High
633,Bajaj,Apache,Transmission,Bike not starting consistently,47916,2024,Low
634,Yamaha,Duke 200,Brakes,Poor mileage compared to normal,40725,2015,Low
635,Royal Enfield,Duke 200,Electrical,Battery drains quickly,5133,2017,Low
636,Honda,Classic 350,Fuel System,Gear shifting feels hard,11879,2023,High
637,Royal Enfield,Duke 200,Fuel System,Excessive vibration at high speed,58278,2021,High
638,Bajaj,Duke 200,Suspension,Brake pads wearing out too fast,35261,2017,High
639,Royal Enfield,Splendor,Fuel System,Battery drains quickly,47709,2019,High
640,Suzuki,Apache,Engine,Excessive vibration at high speed,54102,2018,High
641,TVS,Duke 200,Brakes,Gear shifting feels hard,51745,2017,Medium
642,Hero,Pulsar,Electrical,Brake pads wearing out too fast,54391,2016,Low
643,Royal Enfield,Apache,Suspension,Overheating during long rides,53920,2024,High
644,Honda,FZ,Suspension,Brake pads wearing out too fast,36547,2020,High
645,KTM,Splendor,Brakes,Excessive vibration at high speed,56878,2015,Medium
646,Hero,Duke 200,Transmission,Engine making unusual noise,47329,2020,Low
647,Honda,Splendor,Fuel System,Poor mileage compared to normal,8576,2015,Medium
648,TVS,R15,Suspension,Bike not starting consistently,10459,2022,Low
649,Hero,Classic 350,Engine,Gear shifting feels hard,18006,2023,Medium
650,Hero,Pulsar,Transmission,Gear shifting feels hard,55359,2024,Medium
651,KTM,Classic 350,Transmission,Gear shifting feels hard,22428,2016,Medium
652,Honda,Access 125,Overheating,Brake pads wearing out too fast,33099,2023,High
653,Yamaha,Classic 350,Brakes,Battery drains quickly,41163,2022,High
654,Yamaha,Pulsar,Engine,Excessive vibration at high speed,30469,2021,Medium
655,Honda,Classic 350,Fuel System,Overheating during long rides,3680,2021,Medium
656,TVS,Classic 350,Engine,Gear shifting feels hard,25417,2022,High
657,Bajaj,Duke 200,Transmission,Overheating during long rides,53055,2024,High
658,TVS,Pulsar,Fuel System,Battery drains quickly,53839,2021,Medium
659,Yamaha,Apache,Engine,Overheating during long rides,49142,2016,Medium
660,Bajaj,FZ,Overheating,Excessive vibration at high speed,1631,2023,High
661,Honda,Pulsar,Engine,Poor mileage compared to normal,48761,2023,Medium
662,KTM,FZ,Engine,Excessive vibration at high speed,10255,2018,Low
663,Hero,Access 125,Fuel System,Excessive vibration at high speed,33342,2020,Low
664,KTM,Classic 350,Engine,Gear shifting feels hard,44840,2024,High
665,Yamaha,Apache,Fuel System,Overheating during long rides,22646,2024,Low
666,TVS,Duke 200,Brakes,Overheating during long rides,6284,2023,Low
667,KTM,Apache,Fuel System,Engine making unusual noise,23110,2022,High
668,Suzuki,Duke 200,Overheating,Gear shifting feels hard,17296,2017,Low
669,Suzuki,Classic 350,Engine,Bike not starting consistently,24181,2019,Low
670,Suzuki,Pulsar,Electrical,Poor mileage compared to normal,10466,2023,Medium
671,Bajaj,Duke 200,Brakes,Brake pads wearing out too fast,36958,2022,Medium
672,Bajaj,Splendor,Electrical,Brake pads wearing out too fast,13232,2017,Low
673,Hero,R15,Suspension,Overheating during long rides,24497,2017,Medium
674,Yamaha,FZ,Suspension,Overheating during long rides,34562,2022,Medium
675,Hero,R15,Electrical,Overheating during long rides,37670,2016,Low
676,Royal Enfield,Classic 350,Fuel System,Poor mileage compared to normal,17007,2019,High
677,Honda,R15,Engine,Engine making unusual noise,14367,2020,Medium
678,Honda,Access 125,Suspension,Brake pads wearing out too fast,49063,2019,Medium
679,KTM,Duke 200,Brakes,Poor mileage compared to normal,48425,2015,Low
680,Honda,R15,Fuel System,Brake pads wearing out too fast,50202,2019,Low
681,Honda,FZ,Fuel System,Poor mileage compared to normal,38739,2015,Low
682,Suzuki,Duke 200,Engine,Gear shifting feels hard,3215,2022,High
683,Bajaj,FZ,Transmission,Brake pads wearing out too fast,22513,2016,Medium
684,Honda,Apache,Overheating,Bike not starting consistently,54529,2022,High
685,Bajaj,R15,Electrical,Engine making unusual noise,35822,2022,High
686,Hero,Classic 350,Transmission,Excessive vibration at high speed,32800,2018,Low
687,Yamaha,Classic 350,Brakes,Battery drains quickly,40833,2019,High
688,KTM,Splendor,Transmission,Excessive vibration at high speed,21961,2021,Medium
689,Suzuki,Apache,Electrical,Excessive vibration at high speed,28402,2019,Medium
690,Yamaha,Access 125,Fuel System,Gear shifting feels hard,19225,2022,High
691,KTM,Pulsar,Electrical,Gear shifting feels hard,37408,2020,Medium
692,TVS,FZ,Electrical,Poor mileage compared to normal,44021,2024,High
693,Honda,Pulsar,Overheating,Overheating during long rides,9833,2021,Low
694,Suzuki,Apache,Brakes,Engine making unusual noise,25439,2019,Medium
695,Yamaha,Access 125,Electrical,Overheating during long rides,2873,2024,Low
696,KTM,Access 125,Electrical,Gear shifting feels hard,48457,2024,Medium
697,KTM,Access 125,Fuel System,Gear shifting feels hard,59730,2016,High
698,TVS,Pulsar,Suspension,Poor mileage compared to normal,17735,2016,Low
699,Bajaj,R15,Electrical,Excessive vibration at high speed,41069,2015,Medium
700,Royal Enfield,Classic 350,Overheating,Gear shifting feels hard,11563,2020,Low
701,KTM,Classic 350,Electrical,Bike not starting consistently,15282,2016,Low
702,Honda,Apache,Brakes,Gear shifting feels hard,37296,2020,Low
703,Honda,FZ,Brakes,Excessive vibration at high speed,55279,2015,Medium
704,KTM,Splendor,Electrical,Gear shifting feels hard,15710,2023,High
705,Honda,Classic 350,Electrical,Engine making unusual noise,43315,2024,High
706,Hero,R15,Engine,Excessive vibration at high speed,50827,2024,Low
707,Suzuki,Access 125,Suspension,Brake pads wearing out too fast,13574,2021,High
708,TVS,Duke 200,Suspension,Engine making unusual noise,14599,2020,High
709,Bajaj,R15,Electrical,Excessive vibration at high speed,47119,2015,Medium
710,KTM,R15,Electrical,Poor mileage compared to normal,33586,2017,Low
711,KTM,Classic 350,Transmission,Poor mileage compared to normal,26627,2018,Medium
712,Bajaj,R15,Electrical,Bike not starting consistently,19524,2023,Low
713,TVS,Classic 350,Engine,Battery drains quickly,36285,2021,Medium
714,KTM,FZ,Overheating,Poor mileage compared to normal,57074,2022,Medium
715,TVS,Access 125,Brakes,Brake pads wearing out too fast,4922,2018,Medium
716,Yamaha,Apache,Brakes,Bike not starting consistently,14970,2016,Low
717,Hero,Duke 200,Suspension,Bike not starting consistently,48448,2018,Medium
718,Yamaha,Apache,Overheating,Brake pads wearing out too fast,23759,2023,High
719,Royal Enfield,Access 125,Electrical,Poor mileage compared to normal,12541,2016,Medium
720,TVS,Apache,Electrical,Overheating during long rides,37873,2016,Low
721,Honda,Pulsar,Brakes,Excessive vibration at high speed,20704,2022,Low
722,TVS,Duke 200,Electrical,Excessive vibration at high speed,23186,2023,Medium
723,TVS,Access 125,Electrical,Excessive vibration at high speed,46881,2020,High
724,Honda,R15,Engine,Battery drains quickly,51270,2016,Low
725,Hero,Access 125,Electrical,Poor mileage compared to normal,45371,2017,Low
726,Hero,FZ,Fuel System,Battery drains quickly,56902,2018,Medium
727,KTM,Pulsar,Suspension,Gear shifting feels hard,45508,2022,Low
728,Hero,Splendor,Suspension,Poor mileage compared to normal,56201,2020,Medium
729,TVS,FZ,Brakes,Excessive vibration at high speed,16257,2023,Low
730,Honda,Pulsar,Overheating,Excessive vibration at high speed,27921,2018,Medium
731,Yamaha,R15,Fuel System,Bike not starting consistently,51346,2016,High
732,Suzuki,Classic 350,Suspension,Engine making unusual noise,12923,2017,High
733,Royal Enfield,Classic 350,Overheating,Battery drains quickly,11402,2016,Medium
734,KTM,Duke 200,Electrical,Overheating during long rides,8536,2016,High
735,Hero,Splendor,Suspension,Excessive vibration at high speed,20668,2020,Medium
736,Honda,Duke 200,Suspension,Poor mileage compared to normal,56524,2015,High
737,Bajaj,FZ,Brakes,Overheating during long rides,36765,2019,Medium
738,Yamaha,Splendor,Brakes,Excessive vibration at high speed,48764,2016,Medium
739,KTM,Apache,Transmission,Engine making unusual noise,16975,2021,Medium
740,TVS,Classic 350,Fuel System,Gear shifting feels hard,31299,2021,High
741,Hero,FZ,Transmission,Overheating during long rides,54783,2023,Medium
742,Suzuki,R15,Engine,Battery drains quickly,2443,2017,Medium
743,Bajaj,Apache,Fuel System,Gear shifting feels hard,53359,2018,High
744,TVS,R15,Transmission,Excessive vibration at high speed,1443,2017,High
745,Royal Enfield,FZ,Brakes,Bike not starting consistently,57412,2016,High
746,Suzuki,Classic 350,Overheating,Gear shifting feels hard,3226,2018,Medium
747,Honda,Duke 200,Fuel System,Overheating during long rides,58183,2022,Low
748,Honda,Pulsar,Electrical,Battery drains quickly,11224,2021,Low
749,Honda,Splendor,Overheating,Gear shifting feels hard,58856,2024,Low
750,Suzuki,Apache,Suspension,Poor mileage compared to normal,39699,2019,Low
751,Honda,FZ,Fuel System,Poor mileage compared to normal,23180,2018,Low
752,Suzuki,FZ,Suspension,Bike not starting consistently,32561,2024,Low
753,Yamaha,Access 125,Brakes,Bike not starting consistently,57135,2017,Medium
754,Yamaha,Splendor,Suspension,Bike not starting consistently,12374,2016,Low
